Year,Année,ISO,Jurisdiction,Juridiction,Cause,Origine,Number,Data Qualifier,Nombre,Qualificatifs de données
1998,1998,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,373,a,373,a
1998,1998,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,Indéterminée,2,a,2,a
1998,1998,ON,Ontario,Ontario,Human activity,Activités humaines,854,a,854,a
1998,1998,ON,Ontario,Ontario,Lightning,Foudre,1412,a,1412,a
1998,1998,ON,Ontario,Ontario,Unspecified,Indéterminée,25,a,25,a
1998,1998,PE,Prince Edward Island,Île-du-Prince-Édouard,Human activity,Activités humaines,20,a,20,a
1998,1998,PE,Prince Edward Island,Île-du-Prince-Édouard,Lightning,Foudre,0,a,0,a
1998,1998,PE,Prince Edward Island,Île-du-Prince-Édouard,Unspecified,Indéterminée,7,a,7,a
1998,1998,QC,Quebec,Québec,Human activity,Activités humaines,645,a,645,a
1998,1998,QC,Quebec,Québec,Lightning,Foudre,209,a,209,a
1998,1998,SK,Saskatchewan,Saskatchewan,Human activity,Activités humaines,438,a,438,a
1998,1998,SK,Saskatchewan,Saskatchewan,Lightning,Foudre,830,a,830,a
1998,1998,YT,Yukon,Yukon,Human activity,Activités humaines,110,a,110,a
1998,1998,YT,Yukon,Yukon,Lightning,Foudre,87,a,87,a
1998,1998,YT,Yukon,Yukon,Unspecified,Indéterminée,1,a,1,a
1999,1999,AB,Alberta,Alberta,Human activity,Activités humaines,448,a,448,a
1999,1999,AB,Alberta,Alberta,Prescribed burn,Brûlage dirigé,1,a,1,a
1999,1999,AB,Alberta,Alberta,Lightning,Foudre,901,a,901,a
1999,1999,AB,Alberta,Alberta,Unspecified,Indéterminée,21,a,21,a
1999,1999,BC,British Columbia,Colombie-Britannique,Human activity,Activités humaines,597,a,597,a
1999,1999,BC,British Columbia,Colombie-Britannique,Lightning,Foudre,601,a,601,a
1999,1999,MB,Manitoba,Manitoba,Human activity,Activités humaines,329,a,329,a
1999,1999,MB,Manitoba,Manitoba,Lightning,Foudre,284,a,284,a
1999,1999,NB,New Brunswick,Nouveau-Brunswick,Human activity,Activités humaines,378,a,378,a
1999,1999,NB,New Brunswick,Nouveau-Brunswick,Lightning,Foudre,161,a,161,a
1999,1999,NB,New Brunswick,Nouveau-Brunswick,Unspecified,Indéterminée,68,a,68,a
1999,1999,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Human activity,Activités humaines,165,a,165,a
1999,1999,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Lightning,Foudre,23,a,23,a
1999,1999,NS,Nova Scotia,Nouvelle-Ecosse,Human activity,Activités humaines,398,a,398,a
1999,1999,NS,Nova Scotia,Nouvelle-Ecosse,Lightning,Foudre,27,a,27,a
1999,1999,NS,Nova Scotia,Nouvelle-Ecosse,Unspecified,Indéterminée,39,a,39,a
1999,1999,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,Activités humaines,32,a,32,a
1999,1999,NT,Northwest Territories,Territoires du Nord-Ouest,Prescribed burn,Brûlage dirigé,2,a,2,a
1999,1999,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,135,a,135,a
1999,1999,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,Indéterminée,3,a,3,a
1999,1999,ON,Ontario,Ontario,Human activity,Activités humaines,633,a,633,a
1999,1999,ON,Ontario,Ontario,Lightning,Foudre,376,a,376,a
1999,1999,ON,Ontario,Ontario,Unspecified,Indéterminée,16,a,16,a
1999,1999,PE,Prince Edward Island,Île-du-Prince-Édouard,Human activity,Activités humaines,26,a,26,a
1999,1999,PE,Prince Edward Island,Île-du-Prince-Édouard,Lightning,Foudre,1,a,1,a
1999,1999,PE,Prince Edward Island,Île-du-Prince-Édouard,Unspecified,Indéterminée,7,a,7,a
1999,1999,QC,Quebec,Québec,Human activity,Activités humaines,778,a,778,a
1999,1999,QC,Quebec,Québec,Lightning,Foudre,259,a,259,a
1999,1999,SK,Saskatchewan,Saskatchewan,Human activity,Activités humaines,245,a,245,a
1999,1999,SK,Saskatchewan,Saskatchewan,Lightning,Foudre,495,a,495,a
1999,1999,YT,Yukon,Yukon,Human activity,Activités humaines,40,a,40,a
1999,1999,YT,Yukon,Yukon,Lightning,Foudre,119,a,119,a
2000,2000,AB,Alberta,Alberta,Human activity,Activités humaines,366,a,366,a
2000,2000,AB,Alberta,Alberta,Lightning,Foudre,481,a,481,a
2000,2000,AB,Alberta,Alberta,Unspecified,Indéterminée,17,a,17,a
2000,2000,BC,British Columbia,Colombie-Britannique,Human activity,Activités humaines,687,a,687,a
2000,2000,BC,British Columbia,Colombie-Britannique,Lightning,Foudre,864,a,864,a
2000,2000,MB,Manitoba,Manitoba,Human activity,Activités humaines,4,a,4,a
2000,2000,MB,Manitoba,Manitoba,Unspecified,Indéterminée,353,a,353,a
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Human activity,Activités humaines,265,a,265,a
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Lightning,Foudre,20,a,20,a
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Unspecified,Indéterminée,57,a,57,a
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Human activity,Activités humaines,124,a,124,a
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Lightning,Foudre,25,a,25,a
2000,2000,NS,Nova Scotia,Nouvelle-Ecosse,Human activity,Activités humaines,163,a,163,a
2000,2000,NS,Nova Scotia,Nouvelle-Ecosse,Lightning,Foudre,8,a,8,a
2000,2000,NS,Nova Scotia,Nouvelle-Ecosse,Unspecified,Indéterminée,41,a,41,a
2000,2000,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,Activités humaines,19,a,19,a
2000,2000,NT,Northwest Territories,Territoires du Nord-Ouest,Prescribed burn,Brûlage dirigé,1,a,1,a
2000,2000,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,252,a,252,a
2000,2000,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,Indéterminée,3,a,3,a
2000,2000,ON,Ontario,Ontario,Human activity,Activités humaines,443,a,443,a
2000,2000,ON,Ontario,Ontario,Lightning,Foudre,199,a,199,a
2000,2000,ON,Ontario,Ontario,Unspecified,Indéterminée,11,a,11,a
2000,2000,PE,Prince Edward Island,Île-du-Prince-Édouard,Human activity,Activités humaines,,a,,a
2000,2000,PE,Prince Edward Island,Île-du-Prince-Édouard,Lightning,Foudre,,a,,a
2000,2000,PE,Prince Edward Island,Île-du-Prince-Édouard,Unspecified,Indéterminée,,a,,a
2000,2000,QC,Quebec,Québec,Human activity,Activités humaines,412,a,412,a
2000,2000,QC,Quebec,Québec,Lightning,Foudre,105,a,105,a
2000,2000,SK,Saskatchewan,Saskatchewan,Human activity,Activités humaines,240,a,240,a
2000,2000,SK,Saskatchewan,Saskatchewan,Lightning,Foudre,182,a,182,a
2000,2000,YT,Yukon,Yukon,Human activity,Activités humaines,31,a,31,a
2000,2000,YT,Yukon,Yukon,Lightning,Foudre,23,a,23,a
2000,2000,YT,Yukon,Yukon,Unspecified,Indéterminée,1,a,1,a
2001,2001,AB,Alberta,Alberta,Human activity,Activités humaines,485,a,485,a
2001,2001,AB,Alberta,Alberta,Lightning,Foudre,516,a,516,a
2001,2001,AB,Alberta,Alberta,Unspecified,Indéterminée,23,a,23,a
2001,2001,BC,British Columbia,Colombie-Britannique,Human activity,Activités humaines,831,a,831,a
2001,2001,BC,British Columbia,Colombie-Britannique,Lightning,Foudre,489,a,489,a
2001,2001,MB,Manitoba,Manitoba,Human activity,Activités humaines,6,a,6,a
2001,2001,MB,Manitoba,Manitoba,Unspecified,Indéterminée,527,a,527,a
2001,2001,NB,New Brunswick,Nouveau-Brunswick,Human activity,Activités humaines,343,a,343,a
2001,2001,NB,New Brunswick,Nouveau-Brunswick,Lightning,Foudre,56,a,56,a
2001,2001,NB,New Brunswick,Nouveau-Brunswick,Unspecified,Indéterminée,97,a,97,a
2001,2001,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Human activity,Activités humaines,166,a,166,a
2001,2001,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Lightning,Foudre,16,a,16,a
2001,2001,NS,Nova Scotia,Nouvelle-Ecosse,Human activity,Activités humaines,425,a,425,a
2001,2001,NS,Nova Scotia,Nouvelle-Ecosse,Lightning,Foudre,16,a,16,a
2001,2001,NS,Nova Scotia,Nouvelle-Ecosse,Unspecified,Indéterminée,48,a,48,a
2001,2001,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,Activités humaines,21,a,21,a
2001,2001,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,107,a,107,a
2001,2001,ON,Ontario,Ontario,Human activity,Activités humaines,545,a,545,a
2001,2001,ON,Ontario,Ontario,Lightning,Foudre,1037,a,1037,a
2001,2001,ON,Ontario,Ontario,Unspecified,Indéterminée,14,a,14,a
2001,2001,PE,Prince Edward Island,Île-du-Prince-Édouard,Human activity,Activités humaines,32,a,32,a
2001,2001,PE,Prince Edward Island,Île-du-Prince-Édouard,Lightning,Foudre,0,a,0,a
2001,2001,PE,Prince Edward Island,Île-du-Prince-Édouard,Unspecified,Indéterminée,14,a,14,a
2001,2001,QC,Quebec,Québec,Human activity,Activités humaines,740,a,740,a
2001,2001,QC,Quebec,Québec,Lightning,Foudre,265,a,265,a
2001,2001,SK,Saskatchewan,Saskatchewan,Human activity,Activités humaines,547,a,547,a
2001,2001,SK,Saskatchewan,Saskatchewan,Lightning,Foudre,328,a,328,a
2001,2001,YT,Yukon,Yukon,Human activity,Activités humaines,18,a,18,a
2001,2001,YT,Yukon,Yukon,Lightning,Foudre,50,a,50,a
2002,2002,AB,Alberta,Alberta,Human activity,Activités humaines,589,a,589,a
2002,2002,AB,Alberta,Alberta,Prescribed burn,Brûlage dirigé,1,a,1,a
2002,2002,AB,Alberta,Alberta,Lightning,Foudre,886,a,886,a
2002,2002,AB,Alberta,Alberta,Unspecified,Indéterminée,17,a,17,a
2002,2002,BC,British Columbia,Colombie-Britannique,Human activity,Activités humaines,909,a,909,a
2002,2002,BC,British Columbia,Colombie-Britannique,Lightning,Foudre,884,a,884,a
2002,2002,BC,British Columbia,Colombie-Britannique,Unspecified,Indéterminée,2,a,2,a
2002,2002,MB,Manitoba,Manitoba,Human activity,Activités humaines,5,a,5,a
2002,2002,MB,Manitoba,Manitoba,Unspecified,Indéterminée,755,a,755,a
2002,2002,NB,New Brunswick,Nouveau-Brunswick,Human activity,Activités humaines,211,a,211,a
2002,2002,NB,New Brunswick,Nouveau-Brunswick,Lightning,Foudre,55,a,55,a
2002,2002,NB,New Brunswick,Nouveau-Brunswick,Unspecified,Indéterminée,51,a,51,a
2002,2002,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Human activity,Activités humaines,86,a,86,a
2002,2002,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Lightning,Foudre,14,a,14,a
2002,2002,NS,Nova Scotia,Nouvelle-Ecosse,Human activity,Activités humaines,224,a,224,a
2002,2002,NS,Nova Scotia,Nouvelle-Ecosse,Lightning,Foudre,16,a,16,a
2002,2002,NS,Nova Scotia,Nouvelle-Ecosse,Unspecified,Indéterminée,30,a,30,a
2002,2002,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,Activités humaines,12,a,12,a
2002,2002,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,70,a,70,a
2002,2002,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,Indéterminée,3,a,3,a
2002,2002,ON,Ontario,Ontario,Human activity,Activités humaines,439,a,439,a
2002,2002,ON,Ontario,Ontario,Lightning,Foudre,703,a,703,a
2002,2002,ON,Ontario,Ontario,Unspecified,Indéterminée,21,a,21,a
2002,2002,PE,Prince Edward Island,Île-du-Prince-Édouard,Human activity,Activités humaines,26,a,26,a
2002,2002,PE,Prince Edward Island,Île-du-Prince-Édouard,Lightning,Foudre,0,a,0,a
2002,2002,PE,Prince Edward Island,Île-du-Prince-Édouard,Unspecified,Indéterminée,3,a,3,a
2002,2002,QC,Quebec,Québec,Human activity,Activités humaines,572,a,572,a
2002,2002,QC,Quebec,Québec,Lightning,Foudre,327,a,327,a
2002,2002,SK,Saskatchewan,Saskatchewan,Human activity,Activités humaines,447,a,447,a
2002,2002,SK,Saskatchewan,Saskatchewan,Lightning,Foudre,450,a,450,a
2002,2002,YT,Yukon,Yukon,Human activity,Activités humaines,39,a,39,a
2002,2002,YT,Yukon,Yukon,Lightning,Foudre,31,a,31,a
2003,2003,AB,Alberta,Alberta,Human activity,Activités humaines,672,a,672,a
2003,2003,AB,Alberta,Alberta,Lightning,Foudre,563,a,563,a
2003,2003,AB,Alberta,Alberta,Unspecified,Indéterminée,22,a,22,a
2003,2003,BC,British Columbia,Colombie-Britannique,Human activity,Activités humaines,945,a,945,a
2003,2003,BC,British Columbia,Colombie-Britannique,Lightning,Foudre,1545,a,1545,a
2003,2003,MB,Manitoba,Manitoba,Human activity,Activités humaines,2,a,2,a
2003,2003,MB,Manitoba,Manitoba,Unspecified,Indéterminée,1207,a,1207,a
2003,2003,NB,New Brunswick,Nouveau-Brunswick,Human activity,Activités humaines,182,a,182,a
2003,2003,NB,New Brunswick,Nouveau-Brunswick,Lightning,Foudre,22,a,22,a
2003,2003,NB,New Brunswick,Nouveau-Brunswick,Unspecified,Indéterminée,26,a,26,a
2003,2003,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Human activity,Activités humaines,125,a,125,a
2003,2003,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Lightning,Foudre,15,a,15,a
2003,2003,NS,Nova Scotia,Nouvelle-Ecosse,Human activity,Activités humaines,254,a,254,a
2003,2003,NS,Nova Scotia,Nouvelle-Ecosse,Lightning,Foudre,4,a,4,a
2003,2003,NS,Nova Scotia,Nouvelle-Ecosse,Unspecified,Indéterminée,14,a,14,a
2003,2003,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,Activités humaines,12,a,12,a
2003,2003,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,148,a,148,a
2003,2003,ON,Ontario,Ontario,Human activity,Activités humaines,477,a,477,a
2003,2003,ON,Ontario,Ontario,Lightning,Foudre,519,a,519,a
2003,2003,ON,Ontario,Ontario,Unspecified,Indéterminée,47,a,47,a
2003,2003,PE,Prince Edward Island,Île-du-Prince-Édouard,Human activity,Activités humaines,13,a,13,a
2003,2003,PE,Prince Edward Island,Île-du-Prince-Édouard,Lightning,Foudre,0,a,0,a
2003,2003,PE,Prince Edward Island,Île-du-Prince-Édouard,Unspecified,Indéterminée,1,a,1,a
2003,2003,QC,Quebec,Québec,Human activity,Activités humaines,526,a,526,a
2003,2003,QC,Quebec,Québec,Lightning,Foudre,194,a,194,a
2003,2003,SK,Saskatchewan,Saskatchewan,Human activity,Activités humaines,299,a,299,a
2003,2003,SK,Saskatchewan,Saskatchewan,Lightning,Foudre,359,a,359,a
2003,2003,YT,Yukon,Yukon,Human activity,Activités humaines,48,a,48,a
2003,2003,YT,Yukon,Yukon,Lightning,Foudre,29,a,29,a
2004,2004,AB,Alberta,Alberta,Human activity,Activités humaines,877,a,877,a
2004,2004,AB,Alberta,Alberta,Prescribed burn,Brûlage dirigé,1,a,1,a
2004,2004,AB,Alberta,Alberta,Lightning,Foudre,788,a,788,a
2004,2004,AB,Alberta,Alberta,Reburn,Rebrûlage,6,a,6,a
2004,2004,AB,Alberta,Alberta,Unspecified,Indéterminée,11,a,11,a
2004,2004,BC,British Columbia,Colombie-Britannique,Human activity,Activités humaines,696,a,696,a
2004,2004,BC,British Columbia,Colombie-Britannique,Lightning,Foudre,1721,a,1721,a
2004,2004,BC,British Columbia,Colombie-Britannique,Unspecified,Indéterminée,1,a,1,a
2004,2004,MB,Manitoba,Manitoba,Human activity,Activités humaines,16,a,16,a
2004,2004,MB,Manitoba,Manitoba,Lightning,Foudre,32,a,32,a
2004,2004,MB,Manitoba,Manitoba,Unspecified,Indéterminée,9,a,9,a
2004,2004,NB,New Brunswick,Nouveau-Brunswick,Human activity,Activités humaines,212,a,212,a
2004,2004,NB,New Brunswick,Nouveau-Brunswick,Lightning,Foudre,8,a,8,a
2004,2004,NB,New Brunswick,Nouveau-Brunswick,Unspecified,Indéterminée,36,a,36,a
2004,2004,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Human activity,Activités humaines,123,a,123,a
2004,2004,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Lightning,Foudre,2,a,2,a
2004,2004,NS,Nova Scotia,Nouvelle-Ecosse,Human activity,Activités humaines,250,a,250,a
2004,2004,NS,Nova Scotia,Nouvelle-Ecosse,Lightning,Foudre,4,a,4,a
2004,2004,NS,Nova Scotia,Nouvelle-Ecosse,Unspecified,Indéterminée,5,a,5,a
2004,2004,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,Activités humaines,35,a,35,a
2004,2004,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,254,a,254,a
2004,2004,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,Indéterminée,10,a,10,a
2004,2004,ON,Ontario,Ontario,Human activity,Activités humaines,309,a,309,a
2004,2004,ON,Ontario,Ontario,Lightning,Foudre,113,a,113,a
2004,2004,ON,Ontario,Ontario,Unspecified,Indéterminée,13,a,13,a
2004,2004,PE,Prince Edward Island,Île-du-Prince-Édouard,Human activity,Activités humaines,18,a,18,a
2004,2004,PE,Prince Edward Island,Île-du-Prince-Édouard,Lightning,Foudre,0,a,0,a
2004,2004,PE,Prince Edward Island,Île-du-Prince-Édouard,Unspecified,Indéterminée,2,a,2,a
2004,2004,QC,Quebec,Québec,Human activity,Activités humaines,280,a,280,a
2004,2004,QC,Quebec,Québec,Lightning,Foudre,42,a,42,a
2004,2004,SK,Saskatchewan,Saskatchewan,Human activity,Activités humaines,166,a,166,a
2004,2004,SK,Saskatchewan,Saskatchewan,Lightning,Foudre,165,a,165,a
2004,2004,SK,Saskatchewan,Saskatchewan,Unspecified,Indéterminée,1,a,1,a
2004,2004,YT,Yukon,Yukon,Human activity,Activités humaines,33,a,33,a
2004,2004,YT,Yukon,Yukon,Lightning,Foudre,249,a,249,a
2005,2005,AB,Alberta,Alberta,Human activity,Activités humaines,914,a,914,a
2005,2005,AB,Alberta,Alberta,Prescribed burn,Brûlage dirigé,2,a,2,a
2005,2005,AB,Alberta,Alberta,Lightning,Foudre,471,a,471,a
2005,2005,AB,Alberta,Alberta,Reburn,Rebrûlage,3,a,3,a
2005,2005,AB,Alberta,Alberta,Unspecified,Indéterminée,35,a,35,a
2005,2005,BC,British Columbia,Colombie-Britannique,Human activity,Activités humaines,616,a,616,a
2005,2005,BC,British Columbia,Colombie-Britannique,Lightning,Foudre,390,a,390,a
2005,2005,MB,Manitoba,Manitoba,Human activity,Activités humaines,111,a,111,a
2005,2005,MB,Manitoba,Manitoba,Lightning,Foudre,143,a,143,a
2005,2005,NB,New Brunswick,Nouveau-Brunswick,Human activity,Activités humaines,258,a,258,a
2005,2005,NB,New Brunswick,Nouveau-Brunswick,Lightning,Foudre,25,a,25,a
2005,2005,NB,New Brunswick,Nouveau-Brunswick,Unspecified,Indéterminée,26,a,26,a
2005,2005,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Human activity,Activités humaines,115,a,115,a
2005,2005,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Lightning,Foudre,6,a,6,a
2005,2005,NS,Nova Scotia,Nouvelle-Ecosse,Human activity,Activités humaines,261,a,261,a
2005,2005,NS,Nova Scotia,Nouvelle-Ecosse,Lightning,Foudre,4,a,4,a
2005,2005,NS,Nova Scotia,Nouvelle-Ecosse,Unspecified,Indéterminée,24,a,24,a
2005,2005,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,Activités humaines,16,a,16,a
2005,2005,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,239,a,239,a
2005,2005,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,Indéterminée,6,a,6,a
2005,2005,ON,Ontario,Ontario,Human activity,Activités humaines,593,a,593,a
2005,2005,ON,Ontario,Ontario,Lightning,Foudre,1358,a,1358,a
2005,2005,ON,Ontario,Ontario,Unspecified,Indéterminée,27,a,27,a
2005,2005,PE,Prince Edward Island,Île-du-Prince-Édouard,Human activity,Activités humaines,11,a,11,a
2005,2005,PE,Prince Edward Island,Île-du-Prince-Édouard,Lightning,Foudre,0,a,0,a
2005,2005,PE,Prince Edward Island,Île-du-Prince-Édouard,Unspecified,Indéterminée,2,a,2,a
2005,2005,QC,Quebec,Québec,Human activity,Activités humaines,550,a,550,a
2005,2005,QC,Quebec,Québec,Lightning,Foudre,825,a,825,a
2005,2005,SK,Saskatchewan,Saskatchewan,Human activity,Activités humaines,137,a,137,a
2005,2005,SK,Saskatchewan,Saskatchewan,Lightning,Foudre,199,a,199,a
2005,2005,SK,Saskatchewan,Saskatchewan,Unspecified,Indéterminée,2,a,2,a
2005,2005,YT,Yukon,Yukon,Human activity,Activités humaines,26,a,26,a
2005,2005,YT,Yukon,Yukon,Lightning,Foudre,57,a,57,a
2006,2006,AB,Alberta,Alberta,Human activity,Activités humaines,1223,a,1223,a
2006,2006,AB,Alberta,Alberta,Prescribed burn,Brûlage dirigé,7,a,7,a
2006,2006,AB,Alberta,Alberta,Lightning,Foudre,797,a,797,a
2006,2006,AB,Alberta,Alberta,Reburn,Rebrûlage,22,a,22,a
2006,2006,AB,Alberta,Alberta,Unspecified,Indéterminée,58,a,58,a
2006,2006,BC,British Columbia,Colombie-Britannique,Human activity,Activités humaines,1037,a,1037,a
2006,2006,BC,British Columbia,Colombie-Britannique,Lightning,Foudre,1550,a,1550,a
2006,2006,MB,Manitoba,Manitoba,Human activity,Activités humaines,262,a,262,a
2006,2006,MB,Manitoba,Manitoba,Lightning,Foudre,422,a,422,a
2006,2006,NB,New Brunswick,Nouveau-Brunswick,Human activity,Activités humaines,249,a,249,a
2006,2006,NB,New Brunswick,Nouveau-Brunswick,Lightning,Foudre,27,a,27,a
2006,2006,NB,New Brunswick,Nouveau-Brunswick,Unspecified,Indéterminée,34,a,34,a
2006,2006,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Human activity,Activités humaines,61,a,61,a
2006,2006,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Lightning,Foudre,5,a,5,a
2006,2006,NS,Nova Scotia,Nouvelle-Ecosse,Human activity,Activités humaines,203,a,203,a
2006,2006,NS,Nova Scotia,Nouvelle-Ecosse,Unspecified,Indéterminée,13,a,13,a
2006,2006,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,Activités humaines,23,a,23,a
2006,2006,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,140,a,140,a
2006,2006,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,Indéterminée,4,a,4,a
2006,2006,ON,Ontario,Ontario,Human activity,Activités humaines,500,a,500,a
2006,2006,ON,Ontario,Ontario,Lightning,Foudre,1761,a,1761,a
2006,2006,ON,Ontario,Ontario,Unspecified,Indéterminée,31,a,31,a
2006,2006,PE,Prince Edward Island,Île-du-Prince-Édouard,Human activity,Activités humaines,35,a,35,a
2006,2006,PE,Prince Edward Island,Île-du-Prince-Édouard,Lightning,Foudre,0,a,0,a
2006,2006,PE,Prince Edward Island,Île-du-Prince-Édouard,Unspecified,Indéterminée,1,a,1,a
2006,2006,QC,Quebec,Québec,Human activity,Activités humaines,385,a,385,a
2006,2006,QC,Quebec,Québec,Lightning,Foudre,299,a,299,a
2006,2006,SK,Saskatchewan,Saskatchewan,Human activity,Activités humaines,173,a,173,a
