Year,AnnÈe,ISO,Jurisdiction,Juridiction,Cause,Origine,Number,Data Qualifier,Nombre,Qualificatifs de donnÈes
1990,1990,AB,Alberta,Alberta,Human activity,ActivitÈs humaines,379,a,379,a
1990,1990,AB,Alberta,Alberta,Lightning,Foudre,971,a,971,a
1990,1990,AB,Alberta,Alberta,Unspecified,IndÈterminÈe,16,a,16,a
1990,1990,BC,British Columbia,Colombie-Britannique,Human activity,ActivitÈs humaines,1240,a,1240,a
1990,1990,BC,British Columbia,Colombie-Britannique,Lightning,Foudre,2015,a,2015,a
1990,1990,MB,Manitoba,Manitoba,Human activity,ActivitÈs humaines,283,a,283,a
1990,1990,MB,Manitoba,Manitoba,Lightning,Foudre,279,a,279,a
1990,1990,NB,New Brunswick,Nouveau-Brunswick,Human activity,ActivitÈs humaines,318,a,318,a
1990,1990,NB,New Brunswick,Nouveau-Brunswick,Lightning,Foudre,29,a,29,a
1990,1990,NB,New Brunswick,Nouveau-Brunswick,Unspecified,IndÈterminÈe,30,a,30,a
1990,1990,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Human activity,ActivitÈs humaines,154,a,154,a
1990,1990,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Lightning,Foudre,11,a,11,a
1990,1990,NS,Nova Scotia,Nouvelle-Ecosse,Human activity,ActivitÈs humaines,441,a,441,a
1990,1990,NS,Nova Scotia,Nouvelle-Ecosse,Lightning,Foudre,8,a,8,a
1990,1990,NS,Nova Scotia,Nouvelle-Ecosse,Unspecified,IndÈterminÈe,48,a,48,a
1990,1990,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,ActivitÈs humaines,40,a,40,a
1990,1990,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,194,a,194,a
1990,1990,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,IndÈterminÈe,2,a,2,a
1990,1990,ON,Ontario,Ontario,Human activity,ActivitÈs humaines,940,a,940,a
1990,1990,ON,Ontario,Ontario,Lightning,Foudre,645,a,645,a
1990,1990,ON,Ontario,Ontario,Unspecified,IndÈterminÈe,27,a,27,a
1990,1990,PE,Prince Edward Island,Œle-du-Prince-…douard,Human activity,ActivitÈs humaines,30,a,30,a
1990,1990,PE,Prince Edward Island,Œle-du-Prince-…douard,Lightning,Foudre,0,a,0,a
1990,1990,PE,Prince Edward Island,Œle-du-Prince-…douard,Unspecified,IndÈterminÈe,8,a,8,a
1990,1990,QC,Quebec,QuÈbec,Human activity,ActivitÈs humaines,595,a,595,a
1990,1990,QC,Quebec,QuÈbec,Lightning,Foudre,256,a,256,a
1990,1990,SK,Saskatchewan,Saskatchewan,Human activity,ActivitÈs humaines,434,a,434,a
1990,1990,SK,Saskatchewan,Saskatchewan,Lightning,Foudre,463,a,463,a
1990,1990,YT,Yukon,Yukon,Human activity,ActivitÈs humaines,81,a,81,a
1990,1990,YT,Yukon,Yukon,Lightning,Foudre,73,a,73,a
1991,1991,AB,Alberta,Alberta,Human activity,ActivitÈs humaines,433,a,433,a
1991,1991,AB,Alberta,Alberta,Lightning,Foudre,484,a,484,a
1991,1991,AB,Alberta,Alberta,Unspecified,IndÈterminÈe,27,a,27,a
1991,1991,BC,British Columbia,Colombie-Britannique,Human activity,ActivitÈs humaines,1253,a,1253,a
1991,1991,BC,British Columbia,Colombie-Britannique,Lightning,Foudre,761,a,761,a
1991,1991,MB,Manitoba,Manitoba,Human activity,ActivitÈs humaines,205,a,205,a
1991,1991,MB,Manitoba,Manitoba,Lightning,Foudre,467,a,467,a
1991,1991,NB,New Brunswick,Nouveau-Brunswick,Human activity,ActivitÈs humaines,498,a,498,a
1991,1991,NB,New Brunswick,Nouveau-Brunswick,Lightning,Foudre,86,a,86,a
1991,1991,NB,New Brunswick,Nouveau-Brunswick,Unspecified,IndÈterminÈe,72,a,72,a
1991,1991,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Human activity,ActivitÈs humaines,92,a,92,a
1991,1991,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Lightning,Foudre,23,a,23,a
1991,1991,NS,Nova Scotia,Nouvelle-Ecosse,Human activity,ActivitÈs humaines,636,a,636,a
1991,1991,NS,Nova Scotia,Nouvelle-Ecosse,Lightning,Foudre,40,a,40,a
1991,1991,NS,Nova Scotia,Nouvelle-Ecosse,Unspecified,IndÈterminÈe,50,a,50,a
1991,1991,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,ActivitÈs humaines,43,a,43,a
1991,1991,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,283,a,283,a
1991,1991,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,IndÈterminÈe,5,a,5,a
1991,1991,ON,Ontario,Ontario,Human activity,ActivitÈs humaines,1265,a,1265,a
1991,1991,ON,Ontario,Ontario,Lightning,Foudre,1259,a,1259,a
1991,1991,ON,Ontario,Ontario,Unspecified,IndÈterminÈe,36,a,36,a
1991,1991,PE,Prince Edward Island,Œle-du-Prince-…douard,Human activity,ActivitÈs humaines,26,a,26,a
1991,1991,PE,Prince Edward Island,Œle-du-Prince-…douard,Lightning,Foudre,0,a,0,a
1991,1991,PE,Prince Edward Island,Œle-du-Prince-…douard,Unspecified,IndÈterminÈe,22,a,22,a
1991,1991,QC,Quebec,QuÈbec,Human activity,ActivitÈs humaines,737,a,737,a
1991,1991,QC,Quebec,QuÈbec,Lightning,Foudre,479,a,479,a
1991,1991,SK,Saskatchewan,Saskatchewan,Human activity,ActivitÈs humaines,493,a,493,a
1991,1991,SK,Saskatchewan,Saskatchewan,Lightning,Foudre,269,a,269,a
1991,1991,YT,Yukon,Yukon,Human activity,ActivitÈs humaines,62,a,62,a
1991,1991,YT,Yukon,Yukon,Lightning,Foudre,125,a,125,a
1992,1992,AB,Alberta,Alberta,Human activity,ActivitÈs humaines,398,a,398,a
1992,1992,AB,Alberta,Alberta,Lightning,Foudre,631,a,631,a
1992,1992,AB,Alberta,Alberta,Unspecified,IndÈterminÈe,32,a,32,a
1992,1992,BC,British Columbia,Colombie-Britannique,Human activity,ActivitÈs humaines,1461,a,1461,a
1992,1992,BC,British Columbia,Colombie-Britannique,Lightning,Foudre,2344,a,2344,a
1992,1992,MB,Manitoba,Manitoba,Human activity,ActivitÈs humaines,103,a,103,a
1992,1992,MB,Manitoba,Manitoba,Lightning,Foudre,195,a,195,a
1992,1992,NB,New Brunswick,Nouveau-Brunswick,Human activity,ActivitÈs humaines,500,a,500,a
1992,1992,NB,New Brunswick,Nouveau-Brunswick,Lightning,Foudre,22,a,22,a
1992,1992,NB,New Brunswick,Nouveau-Brunswick,Unspecified,IndÈterminÈe,54,a,54,a
1992,1992,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Human activity,ActivitÈs humaines,99,a,99,a
1992,1992,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Lightning,Foudre,7,a,7,a
1992,1992,NS,Nova Scotia,Nouvelle-Ecosse,Human activity,ActivitÈs humaines,265,a,265,a
1992,1992,NS,Nova Scotia,Nouvelle-Ecosse,Lightning,Foudre,2,a,2,a
1992,1992,NS,Nova Scotia,Nouvelle-Ecosse,Unspecified,IndÈterminÈe,29,a,29,a
1992,1992,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,ActivitÈs humaines,73,a,73,a
1992,1992,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,199,a,199,a
1992,1992,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,IndÈterminÈe,13,a,13,a
1992,1992,ON,Ontario,Ontario,Human activity,ActivitÈs humaines,675,a,675,a
1992,1992,ON,Ontario,Ontario,Lightning,Foudre,262,a,262,a
1992,1992,ON,Ontario,Ontario,Unspecified,IndÈterminÈe,23,a,23,a
1992,1992,PE,Prince Edward Island,Œle-du-Prince-…douard,Human activity,ActivitÈs humaines,24,a,24,a
1992,1992,PE,Prince Edward Island,Œle-du-Prince-…douard,Lightning,Foudre,0,a,0,a
1992,1992,PE,Prince Edward Island,Œle-du-Prince-…douard,Unspecified,IndÈterminÈe,3,a,3,a
1992,1992,QC,Quebec,QuÈbec,Human activity,ActivitÈs humaines,648,a,648,a
1992,1992,QC,Quebec,QuÈbec,Lightning,Foudre,117,a,117,a
1992,1992,SK,Saskatchewan,Saskatchewan,Human activity,ActivitÈs humaines,471,a,471,a
1992,1992,SK,Saskatchewan,Saskatchewan,Lightning,Foudre,228,a,228,a
1992,1992,YT,Yukon,Yukon,Human activity,ActivitÈs humaines,48,a,48,a
1992,1992,YT,Yukon,Yukon,Lightning,Foudre,68,a,68,a
1993,1993,AB,Alberta,Alberta,Human activity,ActivitÈs humaines,306,a,306,a
1993,1993,AB,Alberta,Alberta,Lightning,Foudre,547,a,547,a
1993,1993,AB,Alberta,Alberta,Unspecified,IndÈterminÈe,23,a,23,a
1993,1993,BC,British Columbia,Colombie-Britannique,Human activity,ActivitÈs humaines,886,a,886,a
1993,1993,BC,British Columbia,Colombie-Britannique,Lightning,Foudre,611,a,611,a
1993,1993,MB,Manitoba,Manitoba,Human activity,ActivitÈs humaines,102,a,102,a
1993,1993,MB,Manitoba,Manitoba,Lightning,Foudre,137,a,137,a
1993,1993,NB,New Brunswick,Nouveau-Brunswick,Human activity,ActivitÈs humaines,349,a,349,a
1993,1993,NB,New Brunswick,Nouveau-Brunswick,Lightning,Foudre,31,a,31,a
1993,1993,NB,New Brunswick,Nouveau-Brunswick,Unspecified,IndÈterminÈe,50,a,50,a
1993,1993,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Human activity,ActivitÈs humaines,53,a,53,a
1993,1993,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Lightning,Foudre,12,a,12,a
1993,1993,NS,Nova Scotia,Nouvelle-Ecosse,Human activity,ActivitÈs humaines,288,a,288,a
1993,1993,NS,Nova Scotia,Nouvelle-Ecosse,Lightning,Foudre,3,a,3,a
1993,1993,NS,Nova Scotia,Nouvelle-Ecosse,Unspecified,IndÈterminÈe,11,a,11,a
1993,1993,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,ActivitÈs humaines,67,a,67,a
1993,1993,NT,Northwest Territories,Territoires du Nord-Ouest,Prescribed burn,Br˚lage dirigÈ,2,a,2,a
1993,1993,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,398,a,398,a
1993,1993,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,IndÈterminÈe,6,a,6,a
1993,1993,ON,Ontario,Ontario,Human activity,ActivitÈs humaines,562,a,562,a
1993,1993,ON,Ontario,Ontario,Lightning,Foudre,163,a,163,a
1993,1993,ON,Ontario,Ontario,Unspecified,IndÈterminÈe,17,a,17,a
1993,1993,PE,Prince Edward Island,Œle-du-Prince-…douard,Human activity,ActivitÈs humaines,23,a,23,a
1993,1993,PE,Prince Edward Island,Œle-du-Prince-…douard,Lightning,Foudre,0,a,0,a
1993,1993,PE,Prince Edward Island,Œle-du-Prince-…douard,Unspecified,IndÈterminÈe,6,a,6,a
1993,1993,QC,Quebec,QuÈbec,Human activity,ActivitÈs humaines,432,a,432,a
1993,1993,QC,Quebec,QuÈbec,Lightning,Foudre,111,a,111,a
1993,1993,SK,Saskatchewan,Saskatchewan,Human activity,ActivitÈs humaines,462,a,462,a
1993,1993,SK,Saskatchewan,Saskatchewan,Lightning,Foudre,183,a,183,a
1993,1993,YT,Yukon,Yukon,Human activity,ActivitÈs humaines,59,a,59,a
1993,1993,YT,Yukon,Yukon,Lightning,Foudre,77,a,77,a
1994,1994,AB,Alberta,Alberta,Human activity,ActivitÈs humaines,361,a,361,a
1994,1994,AB,Alberta,Alberta,Lightning,Foudre,551,a,551,a
1994,1994,AB,Alberta,Alberta,Unspecified,IndÈterminÈe,19,a,19,a
1994,1994,BC,British Columbia,Colombie-Britannique,Human activity,ActivitÈs humaines,1169,a,1169,a
1994,1994,BC,British Columbia,Colombie-Britannique,Lightning,Foudre,2888,a,2888,a
1994,1994,MB,Manitoba,Manitoba,Human activity,ActivitÈs humaines,134,a,134,a
1994,1994,MB,Manitoba,Manitoba,Lightning,Foudre,421,a,421,a
1994,1994,NB,New Brunswick,Nouveau-Brunswick,Human activity,ActivitÈs humaines,433,a,433,a
1994,1994,NB,New Brunswick,Nouveau-Brunswick,Lightning,Foudre,15,a,15,a
1994,1994,NB,New Brunswick,Nouveau-Brunswick,Unspecified,IndÈterminÈe,70,a,70,a
1994,1994,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Human activity,ActivitÈs humaines,122,a,122,a
1994,1994,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Lightning,Foudre,7,a,7,a
1994,1994,NS,Nova Scotia,Nouvelle-Ecosse,Human activity,ActivitÈs humaines,244,a,244,a
1994,1994,NS,Nova Scotia,Nouvelle-Ecosse,Unspecified,IndÈterminÈe,19,a,19,a
1994,1994,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,ActivitÈs humaines,92,a,92,a
1994,1994,NT,Northwest Territories,Territoires du Nord-Ouest,Prescribed burn,Br˚lage dirigÈ,28,a,28,a
1994,1994,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,525,a,525,a
1994,1994,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,IndÈterminÈe,8,a,8,a
1994,1994,ON,Ontario,Ontario,Human activity,ActivitÈs humaines,698,a,698,a
1994,1994,ON,Ontario,Ontario,Lightning,Foudre,351,a,351,a
1994,1994,ON,Ontario,Ontario,Unspecified,IndÈterminÈe,30,a,30,a
1994,1994,PE,Prince Edward Island,Œle-du-Prince-…douard,Human activity,ActivitÈs humaines,34,a,34,a
1994,1994,PE,Prince Edward Island,Œle-du-Prince-…douard,Lightning,Foudre,0,a,0,a
1994,1994,PE,Prince Edward Island,Œle-du-Prince-…douard,Unspecified,IndÈterminÈe,9,a,9,a
1994,1994,QC,Quebec,QuÈbec,Human activity,ActivitÈs humaines,381,a,381,a
1994,1994,QC,Quebec,QuÈbec,Lightning,Foudre,118,a,118,a
1994,1994,SK,Saskatchewan,Saskatchewan,Human activity,ActivitÈs humaines,435,a,435,a
1994,1994,SK,Saskatchewan,Saskatchewan,Lightning,Foudre,262,a,262,a
1994,1994,YT,Yukon,Yukon,Human activity,ActivitÈs humaines,70,a,70,a
1994,1994,YT,Yukon,Yukon,Lightning,Foudre,185,a,185,a
1995,1995,AB,Alberta,Alberta,Human activity,ActivitÈs humaines,414,a,414,a
1995,1995,AB,Alberta,Alberta,Lightning,Foudre,366,a,366,a
1995,1995,AB,Alberta,Alberta,Unspecified,IndÈterminÈe,28,a,28,a
1995,1995,BC,British Columbia,Colombie-Britannique,Human activity,ActivitÈs humaines,1130,a,1130,a
1995,1995,BC,British Columbia,Colombie-Britannique,Lightning,Foudre,344,a,344,a
1995,1995,MB,Manitoba,Manitoba,Human activity,ActivitÈs humaines,262,a,262,a
1995,1995,MB,Manitoba,Manitoba,Lightning,Foudre,399,a,399,a
1995,1995,MB,Manitoba,Manitoba,Unspecified,IndÈterminÈe,1,a,1,a
1995,1995,NB,New Brunswick,Nouveau-Brunswick,Human activity,ActivitÈs humaines,395,a,395,a
1995,1995,NB,New Brunswick,Nouveau-Brunswick,Lightning,Foudre,81,a,81,a
1995,1995,NB,New Brunswick,Nouveau-Brunswick,Unspecified,IndÈterminÈe,71,a,71,a
1995,1995,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Human activity,ActivitÈs humaines,84,a,84,a
1995,1995,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Lightning,Foudre,2,a,2,a
1995,1995,NS,Nova Scotia,Nouvelle-Ecosse,Human activity,ActivitÈs humaines,353,a,353,a
1995,1995,NS,Nova Scotia,Nouvelle-Ecosse,Lightning,Foudre,4,a,4,a
1995,1995,NS,Nova Scotia,Nouvelle-Ecosse,Unspecified,IndÈterminÈe,50,a,50,a
1995,1995,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,ActivitÈs humaines,67,a,67,a
1995,1995,NT,Northwest Territories,Territoires du Nord-Ouest,Prescribed burn,Br˚lage dirigÈ,8,a,8,a
1995,1995,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,139,a,139,a
1995,1995,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,IndÈterminÈe,4,a,4,a
1995,1995,ON,Ontario,Ontario,Human activity,ActivitÈs humaines,985,a,985,a
1995,1995,ON,Ontario,Ontario,Lightning,Foudre,1133,a,1133,a
1995,1995,ON,Ontario,Ontario,Unspecified,IndÈterminÈe,32,a,32,a
1995,1995,PE,Prince Edward Island,Œle-du-Prince-…douard,Human activity,ActivitÈs humaines,14,a,14,a
1995,1995,PE,Prince Edward Island,Œle-du-Prince-…douard,Lightning,Foudre,0,a,0,a
1995,1995,PE,Prince Edward Island,Œle-du-Prince-…douard,Unspecified,IndÈterminÈe,15,a,15,a
1995,1995,QC,Quebec,QuÈbec,Human activity,ActivitÈs humaines,672,a,672,a
1995,1995,QC,Quebec,QuÈbec,Lightning,Foudre,593,a,593,a
1995,1995,SK,Saskatchewan,Saskatchewan,Human activity,ActivitÈs humaines,295,a,295,a
1995,1995,SK,Saskatchewan,Saskatchewan,Lightning,Foudre,355,a,355,a
1995,1995,SK,Saskatchewan,Saskatchewan,Unspecified,IndÈterminÈe,1,a,1,a
1995,1995,YT,Yukon,Yukon,Human activity,ActivitÈs humaines,71,a,71,a
1995,1995,YT,Yukon,Yukon,Lightning,Foudre,76,a,76,a
1995,1995,YT,Yukon,Yukon,Unspecified,IndÈterminÈe,1,a,1,a
1996,1996,AB,Alberta,Alberta,Human activity,ActivitÈs humaines,143,a,143,a
1996,1996,AB,Alberta,Alberta,Lightning,Foudre,239,a,239,a
1996,1996,AB,Alberta,Alberta,Unspecified,IndÈterminÈe,16,a,16,a
1996,1996,BC,British Columbia,Colombie-Britannique,Human activity,ActivitÈs humaines,633,a,633,a
1996,1996,BC,British Columbia,Colombie-Britannique,Lightning,Foudre,727,a,727,a
1996,1996,MB,Manitoba,Manitoba,Human activity,ActivitÈs humaines,187,a,187,a
1996,1996,MB,Manitoba,Manitoba,Lightning,Foudre,237,a,237,a
1996,1996,NB,New Brunswick,Nouveau-Brunswick,Human activity,ActivitÈs humaines,239,a,239,a
1996,1996,NB,New Brunswick,Nouveau-Brunswick,Lightning,Foudre,84,a,84,a
1996,1996,NB,New Brunswick,Nouveau-Brunswick,Unspecified,IndÈterminÈe,44,a,44,a
1996,1996,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Human activity,ActivitÈs humaines,82,a,82,a
1996,1996,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Lightning,Foudre,29,a,29,a
1996,1996,NS,Nova Scotia,Nouvelle-Ecosse,Human activity,ActivitÈs humaines,238,a,238,a
1996,1996,NS,Nova Scotia,Nouvelle-Ecosse,Lightning,Foudre,4,a,4,a
1996,1996,NS,Nova Scotia,Nouvelle-Ecosse,Unspecified,IndÈterminÈe,28,a,28,a
1996,1996,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,ActivitÈs humaines,20,a,20,a
1996,1996,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,330,a,330,a
1996,1996,ON,Ontario,Ontario,Human activity,ActivitÈs humaines,576,a,576,a
1996,1996,ON,Ontario,Ontario,Lightning,Foudre,669,a,669,a
1996,1996,ON,Ontario,Ontario,Unspecified,IndÈterminÈe,30,a,30,a
1996,1996,PE,Prince Edward Island,Œle-du-Prince-…douard,Human activity,ActivitÈs humaines,0,a,0,a
1996,1996,PE,Prince Edward Island,Œle-du-Prince-…douard,Lightning,Foudre,0,a,0,a
1996,1996,PE,Prince Edward Island,Œle-du-Prince-…douard,Unspecified,IndÈterminÈe,0,a,0,a
1996,1996,QC,Quebec,QuÈbec,Human activity,ActivitÈs humaines,499,a,499,a
1996,1996,QC,Quebec,QuÈbec,Lightning,Foudre,751,a,751,a
1996,1996,SK,Saskatchewan,Saskatchewan,Human activity,ActivitÈs humaines,207,a,207,a
1996,1996,SK,Saskatchewan,Saskatchewan,Lightning,Foudre,218,a,218,a
1996,1996,YT,Yukon,Yukon,Human activity,ActivitÈs humaines,66,a,66,a
1996,1996,YT,Yukon,Yukon,Lightning,Foudre,83,a,83,a
1997,1997,AB,Alberta,Alberta,Human activity,ActivitÈs humaines,204,a,204,a
1997,1997,AB,Alberta,Alberta,Lightning,Foudre,249,a,249,a
1997,1997,AB,Alberta,Alberta,Unspecified,IndÈterminÈe,10,a,10,a
1997,1997,BC,British Columbia,Colombie-Britannique,Human activity,ActivitÈs humaines,489,a,489,a
1997,1997,BC,British Columbia,Colombie-Britannique,Lightning,Foudre,687,a,687,a
1997,1997,MB,Manitoba,Manitoba,Human activity,ActivitÈs humaines,189,a,189,a
1997,1997,MB,Manitoba,Manitoba,Lightning,Foudre,184,a,184,a
1997,1997,NB,New Brunswick,Nouveau-Brunswick,Human activity,ActivitÈs humaines,290,a,290,a
1997,1997,NB,New Brunswick,Nouveau-Brunswick,Lightning,Foudre,33,a,33,a
1997,1997,NB,New Brunswick,Nouveau-Brunswick,Unspecified,IndÈterminÈe,45,a,45,a
1997,1997,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Human activity,ActivitÈs humaines,68,a,68,a
1997,1997,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Lightning,Foudre,10,a,10,a
1997,1997,NS,Nova Scotia,Nouvelle-Ecosse,Human activity,ActivitÈs humaines,307,a,307,a
1997,1997,NS,Nova Scotia,Nouvelle-Ecosse,Lightning,Foudre,24,a,24,a
1997,1997,NS,Nova Scotia,Nouvelle-Ecosse,Unspecified,IndÈterminÈe,39,a,39,a
1997,1997,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,ActivitÈs humaines,14,a,14,a
1997,1997,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,90,a,90,a
1997,1997,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,IndÈterminÈe,1,a,1,a
1997,1997,ON,Ontario,Ontario,Human activity,ActivitÈs humaines,925,a,925,a
1997,1997,ON,Ontario,Ontario,Lightning,Foudre,681,a,681,a
1997,1997,ON,Ontario,Ontario,Unspecified,IndÈterminÈe,40,a,40,a
1997,1997,PE,Prince Edward Island,Œle-du-Prince-…douard,Human activity,ActivitÈs humaines,,a,,a
1997,1997,PE,Prince Edward Island,Œle-du-Prince-…douard,Lightning,Foudre,,a,,a
1997,1997,PE,Prince Edward Island,Œle-du-Prince-…douard,Unspecified,IndÈterminÈe,34,a,34,a
1997,1997,QC,Quebec,QuÈbec,Human activity,ActivitÈs humaines,514,a,514,a
1997,1997,QC,Quebec,QuÈbec,Lightning,Foudre,362,a,362,a
1997,1997,SK,Saskatchewan,Saskatchewan,Human activity,ActivitÈs humaines,232,a,232,a
1997,1997,SK,Saskatchewan,Saskatchewan,Lightning,Foudre,257,a,257,a
1997,1997,YT,Yukon,Yukon,Human activity,ActivitÈs humaines,69,a,69,a
1997,1997,YT,Yukon,Yukon,Lightning,Foudre,43,a,43,a
1998,1998,AB,Alberta,Alberta,Human activity,ActivitÈs humaines,449,a,449,a
1998,1998,AB,Alberta,Alberta,Lightning,Foudre,1231,a,1231,a
1998,1998,AB,Alberta,Alberta,Unspecified,IndÈterminÈe,58,a,58,a
1998,1998,BC,British Columbia,Colombie-Britannique,Human activity,ActivitÈs humaines,911,a,911,a
1998,1998,BC,British Columbia,Colombie-Britannique,Lightning,Foudre,1752,a,1752,a
1998,1998,MB,Manitoba,Manitoba,Human activity,ActivitÈs humaines,296,a,296,a
1998,1998,MB,Manitoba,Manitoba,Lightning,Foudre,220,a,220,a
1998,1998,NB,New Brunswick,Nouveau-Brunswick,Human activity,ActivitÈs humaines,224,a,224,a
1998,1998,NB,New Brunswick,Nouveau-Brunswick,Lightning,Foudre,18,a,18,a
1998,1998,NB,New Brunswick,Nouveau-Brunswick,Unspecified,IndÈterminÈe,46,a,46,a
1998,1998,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Human activity,ActivitÈs humaines,159,a,159,a
1998,1998,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Lightning,Foudre,21,a,21,a
1998,1998,NS,Nova Scotia,Nouvelle-Ecosse,Human activity,ActivitÈs humaines,293,a,293,a
1998,1998,NS,Nova Scotia,Nouvelle-Ecosse,Lightning,Foudre,5,a,5,a
1998,1998,NS,Nova Scotia,Nouvelle-Ecosse,Unspecified,IndÈterminÈe,48,a,48,a
1998,1998,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,ActivitÈs humaines,24,a,24,a
